date,day_of_week,total_trades,rsi_trades,ib_trades,mom_trades,winners,losers,win_rate,net_pnl,cumulative_pnl,max_open_positions,first_trade_time,last_trade_time,data_period
2018-01-04,Thursday,3,2,0,1,0,3,0.0,-155.52,-776.28,3,2018-01-04 09:45:00,2018-01-04 10:45:00,"2018-2019 (NQ, pre-MNQ)"
2018-01-05,Friday,7,5,1,1,2,5,28.6,-128.88,-905.16,3,2018-01-05 09:45:00,2018-01-05 14:30:00,"2018-2019 (NQ, pre-MNQ)"
2018-01-08,Monday,7,4,1,2,4,3,57.1,-112.38,-1017.54,3,2018-01-08 09:30:00,2018-01-08 14:15:00,"2018-2019 (NQ, pre-MNQ)"
2018-01-09,Tuesday,7,3,1,3,2,5,28.6,-244.38,-1261.92,3,2018-01-09 09:45:00,2018-01-09 15:45:00,"2018-2019 (NQ, pre-MNQ)"
2018-01-10,Wednesday,4,2,1,1,0,4,0.0,-304.86,-1566.78,3,2018-01-10 09:45:00,2018-01-10 10:15:00,"2018-2019 (NQ, pre-MNQ)"
2018-01-11,Thursday,7,4,1,2,1,6,14.3,-232.38,-1799.16,3,2018-01-11 09:45:00,2018-01-11 15:30:00,"2018-2019 (NQ, pre-MNQ)"
2018-01-12,Friday,6,4,1,1,2,4,33.3,194.46,-1604.70,3,2018-01-12 09:30:00,2018-01-12 13:15:00,"2018-2019 (NQ, pre-MNQ)"
2018-01-15,Monday,3,1,1,1,0,3,0.0,-71.52,-1676.22,3,2018-01-15 09:30:00,2018-01-15 10:15:00,"2018-2019 (NQ, pre-MNQ)"
2018-01-16,Tuesday,10,4,1,5,4,6,40.0,99.60,-1576.62,3,2018-01-16 09:45:00,2018-01-16 15:00:00,"2018-2019 (NQ, pre-MNQ)"
2018-01-17,Wednesday,5,3,1,1,3,2,60.0,-92.70,-1669.32,3,2018-01-17 09:30:00,2018-01-17 15:00:00,"2018-2019 (NQ, pre-MNQ)"
2018-01-18,Thursday,4,0,1,3,0,4,0.0,-447.36,-2116.68,3,2018-01-18 09:45:00,2018-01-18 15:45:00,"2018-2019 (NQ, pre-MNQ)"
2018-01-19,Friday,5,2,1,2,1,4,20.0,-182.70,-2299.38,3,2018-01-19 09:45:00,2018-01-19 15:30:00,"2018-2019 (NQ, pre-MNQ)"
2018-01-22,Monday,7,5,1,1,2,5,28.6,-14.88,-2314.26,3,2018-01-22 09:30:00,2018-01-22 15:45:00,"2018-2019 (NQ, pre-MNQ)"
2018-01-23,Tuesday,6,4,1,1,2,4,33.3,-65.04,-2379.30,3,2018-01-23 09:30:00,2018-01-23 12:45:00,"2018-2019 (NQ, pre-MNQ)"
2018-01-24,Wednesday,9,5,1,3,3,6,33.3,92.94,-2286.36,3,2018-01-24 10:00:00,2018-01-24 13:15:00,"2018-2019 (NQ, pre-MNQ)"
2018-01-25,Thursday,6,4,0,2,3,3,50.0,161.46,-2124.90,3,2018-01-25 09:45:00,2018-01-25 15:15:00,"2018-2019 (NQ, pre-MNQ)"
2018-01-26,Friday,7,4,1,2,4,3,57.1,76.62,-2048.28,3,2018-01-26 10:00:00,2018-01-26 15:45:00,"2018-2019 (NQ, pre-MNQ)"
2018-01-29,Monday,6,1,1,4,1,5,16.7,-240.54,-2288.82,3,2018-01-29 09:45:00,2018-01-29 15:45:00,"2018-2019 (NQ, pre-MNQ)"
2018-01-30,Tuesday,3,3,0,0,2,1,66.7,142.98,-2145.84,3,2018-01-30 09:45:00,2018-01-30 13:15:00,"2018-2019 (NQ, pre-MNQ)"
2018-01-31,Wednesday,4,2,0,2,1,3,25.0,-178.86,-2324.70,3,2018-01-31 09:45:00,2018-01-31 15:45:00,"2018-2019 (NQ, pre-MNQ)"
2018-02-01,Thursday,5,2,0,3,2,3,40.0,81.30,-2243.40,3,2018-02-01 10:30:00,2018-02-01 15:45:00,"2018-2019 (NQ, pre-MNQ)"
2018-02-02,Friday,8,7,0,1,2,6,25.0,-36.72,-2280.12,3,2018-02-02 09:45:00,2018-02-02 15:15:00,"2018-2019 (NQ, pre-MNQ)"
2018-02-05,Monday,11,6,0,5,3,8,27.3,922.26,-1357.86,3,2018-02-05 09:30:00,2018-02-05 15:45:00,"2018-2019 (NQ, pre-MNQ)"
2018-02-06,Tuesday,6,4,0,2,2,4,33.3,500.46,-857.40,3,2018-02-06 09:45:00,2018-02-06 15:30:00,"2018-2019 (NQ, pre-MNQ)"
2018-02-07,Wednesday,5,4,0,1,1,4,20.0,-286.20,-1143.60,3,2018-02-07 09:30:00,2018-02-07 13:15:00,"2018-2019 (NQ, pre-MNQ)"
2018-02-08,Thursday,12,8,0,4,2,10,16.7,-322.08,-1465.68,3,2018-02-08 09:30:00,2018-02-08 15:45:00,"2018-2019 (NQ, pre-MNQ)"
2018-02-09,Friday,6,3,0,3,0,6,0.0,-626.04,-2091.72,3,2018-02-09 10:15:00,2018-02-09 15:45:00,"2018-2019 (NQ, pre-MNQ)"
2018-02-12,Monday,7,6,0,1,3,4,42.9,27.12,-2064.60,3,2018-02-12 09:30:00,2018-02-12 15:15:00,"2018-2019 (NQ, pre-MNQ)"
2018-02-13,Tuesday,2,1,1,0,1,1,50.0,-12.18,-2076.78,3,2018-02-13 10:15:00,2018-02-13 14:15:00,"2018-2019 (NQ, pre-MNQ)"
2018-02-14,Wednesday,9,7,0,2,1,8,11.1,-447.06,-2523.84,3,2018-02-14 09:45:00,2018-02-14 15:15:00,"2018-2019 (NQ, pre-MNQ)"
2018-02-15,Thursday,8,5,0,3,1,7,12.5,-533.22,-3057.06,3,2018-02-15 09:45:00,2018-02-15 15:15:00,"2018-2019 (NQ, pre-MNQ)"
2018-02-16,Friday,7,3,1,3,2,5,28.6,-80.88,-3137.94,3,2018-02-16 09:30:00,2018-02-16 13:30:00,"2018-2019 (NQ, pre-MNQ)"
2018-02-19,Monday,2,0,1,1,1,1,50.0,158.82,-2979.12,3,2018-02-19 09:30:00,2018-02-19 10:15:00,"2018-2019 (NQ, pre-MNQ)"
2018-02-20,Tuesday,6,3,0,3,3,3,50.0,276.96,-2702.16,3,2018-02-20 10:15:00,2018-02-20 15:15:00,"2018-2019 (NQ, pre-MNQ)"
2018-02-21,Wednesday,9,4,1,4,3,6,33.3,35.94,-2666.22,3,2018-02-21 09:45:00,2018-02-21 15:45:00,"2018-2019 (NQ, pre-MNQ)"
2018-02-22,Thursday,4,2,1,1,1,3,25.0,-309.36,-2975.58,3,2018-02-22 10:00:00,2018-02-22 13:45:00,"2018-2019 (NQ, pre-MNQ)"
2018-02-23,Friday,8,5,1,2,1,7,12.5,-198.72,-3174.30,3,2018-02-23 09:30:00,2018-02-23 15:30:00,"2018-2019 (NQ, pre-MNQ)"
